NombreFichero;NombreActividad;Ubicacion;TipoActividadOriginal;UbicacionActividad;TipoActividad;SubTipoActividad;Fecha;Hora;LatitudInicio;LongitudInicio;Distancia;TiempoTotal;TiempoActividad;TramosPausas;FrecuenciaCardiacaMedia;FrecuenciaCardiacaMaxima;FrecuenciaCardiacaMinima;CadenciaMedia;CadenciaMaxima;CadenciaMinima;TemperaturaMedia;TemperaturaMaxima;TemperaturaMinima;AltitudMaxima;AltitudMinima;DesnivelPositivo;DesnivelNegativo;DesnivelPorKilometro;VelocidadMedia;VelocidadMaxima;VelocidadPercentil90;VelocidadMinima;VelocidadPercentil10;VelocidadMediaAscenso;VelocidadMediaDescenso;RatioVelocidadDesnivel
10x400_Vallehermoso.gpx;Madrid - 10x(400);;running;;;;06/03/2020;20:13:52;4.044.182.642.363.010;-37.101.936.992.257.800;10893;0:59:21;0:49:13;8;151;180;69;163;261;8;17;28;14;691;681;57;61;11;13.3;23.9;18.7;0.4;3.2;12.9;13.5;1.0
3x1k+3k_20190516.gpx;Madrid - 3x1000 3000;;running;;;;16/05/2019;19:39:46;4.041.502.403.095.360;-3.724.039.010.703.560;11002;1:12:56;0:53:50;4;151;180;71;155;245;11;26;30;24;626;575;82;83;15;12.3;22.7;17.1;0.0;1.7;12.3;12.2;1.0
FartlekMexicano_20200303.gpx;Madrid - Fartlek Mexicano;;running;;;;03/03/2020;19:40:17;40.415.066.443.383.600;-3.724.057.367.071.500;13511;0:54:57;0:54:57;1;163;175;82;173;190;163;22;30;18;652;578;128;130;19;14.8;22.8;17.1;7.5;12.0;14.2;15.3;0.9
MediaMaratonMadrid2018.gpx;Madrid Carrera;;running;;;;08/04/2018;9:06:26;4.041.845.206.171.270;-36.934.543.680.399.600;21712;1:23:33;1:23:33;1;166;175;74;175;187;160;21;24;16;708;600;171;185;16;15.6;24.8;18.3;5.1;12.9;15.2;16.0;0.9
3x1k+3k_20190516.gpx;Madrid - 3x1000 3000;;running;Outdoor;Running;NoIdentificada;16/05/2019;19:39:46;40.415.024.030.953.600;-37.240.390.107.035.600;11002;1:12:56;0:53:50;4;151;180;71;155;245;11;26;30;24;626;575;91;93;17;12.3;22.7;17.1;0.0;1.7;12.8;11.7;1.1
3x1k+3k_20190516.gpx;Madrid - 3x1000 3000;El Tarter;running;Outdoor;Running;NoIdentificada;2019/05/16;19:39:46;40.415024030953646;-3.7240390107035637;11002;01:12:56;00:53:50;4;151;180;71;155;245;11;26;30;24;626;575;91;93;17;12.3;22.7;17.1;0.0;1.7;12.8;11.7;1.1
MTB_VueltaErmita_20190303.gpx;Herrera de los Navarros - Ciclismo de montaña;El Tarter;mountain_biking;Outdoor;TrailRunning;NoIdentificada;2019/03/03;10:53:20;41.21047971770167;-1.0825291648507118;29974;02:37:20;02:21:13;5;118;154;70;0;0;0;26;29;24;1336;809;815;802;54;12.7;50.3;25.2;0.0;6.8;9.3;22.9;0.4
VillaDeAranjuez2018.gpx;Aranjuez Carrera;El Tarter;running;Outdoor;Running;NoIdentificada;2018/12/16;12:00:45;40.03585263155401;-3.6004548892378807;10074;00:36:47;00:36:47;1;163;176;77;178;206;8;21;23;20;479;459;64;64;13;16.4;18.7;17.7;11.6;15.3;16.4;16.5;1.0
MTB_Azuara_20181223.gpx;Herrera de los Navarros Ciclismo de montaña;El Tarter;mountain_biking;Outdoor;Running;NoIdentificada;2018/12/23;10:25:44;41.21044786646962;-1.0796678345650434;43169;03:40:00;02:38:15;19;96;148;43;0;0;0;26;30;20;860;586;561;539;25;16.3;40.2;23.9;0.1;8.5;14.2;19.8;0.7
MadridNorteSur_20190616.gpx;Madrid Carrera;El Tarter;running;Outdoor;Running;NoIdentificada;2019/06/16;08:59:42;40.46634147875011;-3.6875144485384226;10187;00:36:03;00:36:03;1;160;175;78;180;219;9;25;26;23;765;664;64;160;22;17.0;24.7;19.0;8.6;15.1;17.0;16.9;1.0
10kValencia_20200112.gpx;Valencia Carrera;Valencia;running;Outdoor;Running;NoIdentificada;2020/01/12;09:31:15;39.474270483478904;-0.3653307817876339;10219;00:36:26;00:36:26;1;167;182;92;181;203;175;17;20;14;-1;-9;61;62;12;16.8;21.6;18.2;9.1;15.6;16.8;16.9;1.0
IV_DesafioHerrerino.gpx;Herrera de los Navarros Trail running;Herrera de los Navarros;trail_running;Outdoor;TrailRunning;NoIdentificada;2018/05/12;09:16:36;41.20949199423194;-1.0844993311911821;26912;02:36:25;02:36:25;1;163;175;101;155;221;0;28;32;23;1333;676;1068;1067;79;10.3;20.4;14.9;0.0;5.3;8.5;12.9;0.7
2KV_Collarada.gpx;2KV Collarada;Villanua;9;Outdoor;TrailRunning;NoIdentificada;2015/07/19;08:14:41;42.682602;-0.532298;16607;03:40:16;03:37:06;2;144;173;90;0;0;0;0;0;0;2833;953;1926;1928;232;4.6;17.5;9.2;0.0;0.9;3.5;6.6;0.5
IX_Maraton_Ciudad_de_Zaragoza.gpx;IX Maratón Ciudad de Zaragoza;Zaragoza;9;Outdoor;Running;NoIdentificada;2015/09/27;08:32:17;41.655908;-0.877671;42348;04:04:45;04:04:45;1;152;173;114;0;0;0;0;0;0;257;186;608;608;29;10.4;19.5;12.8;1.4;6.4;10.3;10.4;1.0
